"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase,timestamp
Morocco,479,+77,26,+1,13,440,1,13,0.7,Mar 01,20200330001357
Ukraine,475,+119,10,+1,6,459,,11,0.2,Mar 02,20200330001357
Lithuania,460,+66,7,,1,452,2,169,3,Feb 27,20200330001357
Lebanon,438,+26,10,+2,30,398,4,64,1,Feb 20,20200330001357
Armenia,424,+17,3,+2,30,391,6,143,1,Feb 29,20200330001357
Hungary,408,+65,13,+2,34,361,6,42,1,Mar 03,20200330001357
Latvia,347,+42,,,1,346,3,184,,Mar 01,20200330001357
Bulgaria,346,+15,8,+1,14,324,8,50,1,Mar 06,20200330001357
Andorra,334,+26,6,+3,1,327,10,"4,323",78,Mar 01,20200330001357
Bosnia and Herzegovina,323,+45,6,,8,309,1,98,2,Mar 04,20200330001357
Costa Rica,314,+19,2,,3,309,6,62,0.4,Mar 04,20200330001357
Slovakia,314,+22,,,2,312,1,58,,Mar 05,20200330001357
Tunisia,312,+34,8,,2,302,10,26,0.7,Mar 01,20200330001357
Uruguay,304,,1,,,303,9,88,0.3,Mar 12,20200330001357
Taiwan,298,+15,3,+1,39,256,,13,0.1,Jan 20,20200330001357
Kazakhstan,284,+56,1,,20,263,,15,0.05,Mar 12,20200330001357
Moldova,263,+32,2,,2,259,33,65,0.5,Mar 06,20200330001357
North Macedonia,259,+18,6,+2,3,250,1,124,3,Feb 25,20200330001357
Jordan,259,+13,3,+2,18,238,3,25,0.3,Mar 01,20200330001357
Kuwait,255,+20,,,67,188,12,60,,Feb 23,20200330001357
San Marino,224,,22,,6,196,16,"6,602",648,Feb 26,20200330001357
Burkina Faso,222,+15,12,+1,23,187,,11,0.6,Mar 08,20200330001357
Cyprus,214,+35,6,+1,15,193,3,177,5,Mar 08,20200330001357
Albania,212,+15,10,,33,169,3,74,3,Mar 07,20200330001357
Azerbaijan,209,+27,4,,15,190,23,21,0.4,Feb 27,20200330001357
Vietnam,194,+20,,,25,169,3,2,,Jan 22,20200330001357
Réunion,183,,,,1,182,,204,,Mar 10,20200330001357
Oman,167,+15,,,23,144,3,33,,Feb 23,20200330001357
Ivory Coast,165,+64,1,+1,4,160,,6,0.04,Mar 10,20200330001357
Faeroe Islands,159,+4,,,70,89,1,"3,254",,Mar 03,20200330001357
Ghana,152,+11,5,,2,145,1,5,0.2,Mar 11,20200330001357
Malta,151,+2,,,2,149,4,342,,Mar 06,20200330001357
Uzbekistan,144,+40,2,,7,135,8,4,0.06,Mar 14,20200330001357
Senegal,142,+12,,,27,115,,8,,Mar 01,20200330001357
Cameroon,139,+48,6,+4,5,128,,5,0.2,Mar 05,20200330001357
Cuba,139,+20,3,,4,132,2,12,0.3,Mar 10,20200330001357
Brunei,126,+6,1,,34,91,1,288,2,Mar 08,20200330001357
Afghanistan,120,+10,4,,2,114,,3,0.1,Feb 23,20200330001357
Venezuela,119,,3,+1,39,77,6,4,0.1,Mar 12,20200330001357
Sri Lanka,117,+4,1,,11,105,5,5,0.05,Jan 26,20200330001357
Nigeria,111,+14,1,,3,107,,0.5,0.00,Feb 27,20200330001357
Honduras,110,+15,3,+2,3,104,4,11,0.3,Mar 10,20200330001357
Palestine,109,+5,1,,18,90,,21,0.2,Mar 04,20200330001357
Channel Islands,108,+11,2,+1,,106,,621,12,Mar 08,20200330001357
Mauritius,107,+5,3,+1,,104,1,84,2,Mar 17,20200330001357
Guadeloupe,106,+4,4,+2,17,85,10,265,10,Mar 12,20200330001357
Cambodia,103,+4,,,21,82,1,6,,Jan 26,20200330001357
Belarus,94,,,,32,62,2,10,,Feb 27,20200330001357
Martinique,93,,1,,,92,12,248,3,Mar 04,20200330001357
Georgia,91,+1,,,18,73,1,23,,Feb 25,20200330001357
Montenegro,85,+1,1,,,84,1,135,2,Mar 16,20200330001357
Kyrgyzstan,84,+26,,,,84,,13,,Mar 17,20200330001357
DRC,81,+16,8,+2,2,71,,0.9,0.09,Mar 09,20200330001357
Bolivia,81,+7,1,+1,,80,3,7,0.09,Mar 09,20200330001357
Trinidad and Tobago,78,+2,3,,1,74,,56,2,Mar 11,20200330001357
Rwanda,70,+10,,,,70,,5,,Mar 13,20200330001357
Gibraltar,65,+9,,,14,51,,"1,929",,Mar 02,20200330001357
Mayotte,63,,,,,63,,231,,Mar 13,20200330001357
Paraguay,59,+3,3,,1,55,3,8,0.4,Mar 06,20200330001357
Liechtenstein,56,,,,,56,,"1,469",,Mar 02,20200330001357
Aruba,50,+4,,,1,49,,468,,Mar 12,20200330001357
Bangladesh,48,,5,,15,28,1,0.3,0.03,Mar 07,20200330001357
Monaco,46,+3,1,,1,44,,"1,172",25,Feb 27,20200330001357
French Guiana,43,+15,,,6,37,,144,,Mar 06,20200330001357
Kenya,42,+4,1,,1,40,2,0.8,0.02,Mar 12,20200330001357
Isle of Man,42,+10,,,,42,,494,,Mar 18,20200330001357
Madagascar,39,+13,,,,39,,1,,Mar 19,20200330001357
Macao,37,+3,,,10,27,,57,,Jan 21,20200330001357
Guatemala,34,,1,,10,23,1,2,0.06,Mar 12,20200330001357
Barbados,33,+7,,,,33,,115,,Mar 16,20200330001357
Uganda,33,+3,,,,33,,0.7,,Mar 20,20200330001357
Jamaica,32,+2,1,,2,29,,11,0.3,Mar 09,20200330001357
French Polynesia,30,,,,,30,,107,,Mar 10,20200330001357
Zambia,29,+1,,,,29,,2,,Mar 17,20200330001357
Togo,25,,1,,1,23,,3,0.1,Mar 05,20200330001357
El Salvador,24,+5,,,,24,,4,,Mar 18,20200330001357
Bermuda,22,+5,,,2,20,,353,,Mar 17,20200330001357
Ethiopia,21,+5,,,1,20,,0.2,,Mar 12,20200330001357
Congo,19,+15,,,,19,,3,,Mar 14,20200330001357
Mali,18,,1,,,17,,0.9,0.05,Mar 24,20200330001357
Niger,18,+8,1,,,17,,0.7,0.04,Mar 18,20200330001357
Djibouti,18,+4,,,,18,,18,,Mar 17,20200330001357
Maldives,17,+1,,,13,4,,31,,Mar 06,20200330001357
Guinea,16,+8,,,,16,,1,,Mar 12,20200330001357
Haiti,15,+7,,,1,14,,1,,Mar 19,20200330001357
New Caledonia,15,,,,,15,,53,,Mar 17,20200330001357
Bahamas,14,+4,,,1,13,,36,,Mar 14,20200330001357
Tanzania,14,,,,1,13,,0.2,,Mar 15,20200330001357
Cayman Islands,12,+4,1,,,11,,183,15,Mar 12,20200330001357
Equatorial Guinea,12,,,,,12,,9,,Mar 13,20200330001357
Eritrea,12,+6,,,,12,,3,,Mar 20,20200330001357
Mongolia,12,,,,,12,,4,,Mar 09,20200330001357
Dominica,11,,,,,11,,153,,Mar 21,20200330001357
Namibia,11,+3,,,2,9,,4,,Mar 13,20200330001357
Saint Martin,11,,,,,11,,284,,Feb 29,20200330001357
Greenland,10,,,,2,8,,176,,Mar 15,20200330001357
Myanmar,10,+2,,,,10,,0.2,,Mar 22,20200330001357
Syria,9,+4,1,+1,,8,,0.5,0.06,Mar 21,20200330001357
Grenada,9,+2,,,,9,,80,,Mar 21,20200330001357
Saint Lucia,9,+6,,,1,8,,49,,Mar 12,20200330001357
Eswatini,9,,,,,9,,8,,Mar 13,20200330001357
Curaçao,8,,1,,2,5,,49,6,Mar 12,20200330001357
Guyana,8,,1,,,7,,10,1,Mar 11,20200330001357
Laos,8,,,,,8,,1,,Mar 23,20200330001357
Libya,8,+5,,,,8,,1,,Mar 23,20200330001357
Mozambique,8,,,,,8,,0.3,,Mar 21,20200330001357
Seychelles,8,,,,,8,,81,,Mar 13,20200330001357
Suriname,8,,,,,8,,14,,Mar 12,20200330001357
Angola,7,+2,2,+2,,5,,0.2,0.06,Mar 19,20200330001357
Gabon,7,,1,,,6,,3,0.4,Mar 12,20200330001357
Zimbabwe,7,,1,,,6,,0.5,0.07,Mar 19,20200330001357
Antigua and Barbuda,7,,,,,7,,71,,Mar 12,20200330001357
Cabo Verde,6,,1,,,5,,11,2,Mar 19,20200330001357
Sudan,6,+1,1,,,5,,0.1,0.02,Mar 12,20200330001357
Benin,6,,,,,6,,0.5,,Mar 15,20200330001357
Vatican City,6,,,,,6,,"7,491",,Mar 05,20200330001357
Sint Maarten,6,,,,,6,,140,,Mar 17,20200330001357
Nepal,5,,,,1,4,,0.2,,Jan 23,20200330001357
Fiji,5,,,,,5,,6,,Mar 18,20200330001357
Mauritania,5,,,,2,3,,1,,Mar 12,20200330001357
Montserrat,5,,,,,5,,"1,002",,Mar 17,20200330001357
St. Barth,5,,,,,5,,506,,Feb 29,20200330001357
Gambia,4,+1,1,,,3,,2,0.4,Mar 16,20200330001357
Nicaragua,4,,1,,,3,,0.6,0.2,Mar 18,20200330001357
Bhutan,4,+1,,,,4,,5,,Mar 05,20200330001357
Turks and Caicos,4,,,,,4,,103,,Mar 22,20200330001357
CAR,3,,,,,3,,0.6,,Mar 14,20200330001357
Chad,3,,,,,3,,0.2,,Mar 18,20200330001357
Liberia,3,,,,,3,,0.6,,Mar 15,20200330001357
Somalia,3,,,,,3,,0.2,,Mar 15,20200330001357
MS Zaandam,2,,,,,2,,,,Mar 26,20200330001357
Anguilla,2,,,,,2,,133,,Mar 25,20200330001357
Belize,2,,,,,2,,5,,Mar 22,20200330001357
British Virgin Islands,2,,,,,2,,66,,Mar 24,20200330001357
Guinea-Bissau,2,,,,,2,,1,,Mar 24,20200330001357
Saint Kitts and Nevis,2,,,,,2,,38,,Mar 24,20200330001357
Papua New Guinea,1,,,,,1,,0.1,,Mar 19,20200330001357
St. Vincent Grenadines,1,,,,1,0,,9,,Mar 10,20200330001357
Timor-Leste,1,,,,,1,,0.8,,Mar 20,20200330001357
China,"81,439",,"3,300",,"75,448","2,691",742,57,2,Jan 10,20200330001357
Total:,"721,330","+58,203","33,956","+3,095","151,004","536,370","26,789",92.5,4.4,,20200330001357
