0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,date,sitrep
Gansu,3,-,3,0,0,90,-,90,2,,,,,,,,,20200214,25
Jilin,2,-,2,10,0,86,-,86,1,,,,,,,,,20200214,25
Ningxia,3,-,3,5,0,67,-,67,0,,,,,,,,,20200214,25
Xinjiang,2,-,2,5,0,65,-,65,1,,,,,,,,,20200214,25
Inner Mongolia,2,-,2,1,0,63,-,63,0,,,,,,,,,20200214,25
Hong Kong Sar,3,-,3,0,0,53,-,53,1,,,,,,,,,20200214,25
Qinghai,0,-,0,0,0,18,-,18,0,,,,,,,,,20200214,25
Taipei and environs,0,-,0,0,0,18,-,18,0,,,,,,,,,20200214,25
Macao Sar,0,-,0,0,0,10,-,10,0,,,,,,,,,20200214,25
Xizang,0,-,0,0,0,1,-,1,0,,,,,,,,,20200214,25
Totals,1998,3095,5093,2450,121,48 548,15 384,63 932,1381,,,,,,,,,20200214,25
WHO Region,Country/Territory/Area,"Confirmed* 
cases (new)","Total 
cases with 
travel 
history to 
China 
(new)","Total cases with    
possible or 
confirmed 
transmission 
outside of China† 
(new)","Total cases with 
site of 
transmission 
under 
investigation 
(new)","Total deaths 
(new)",,,,,,,,,,,,20200214,25
Western Pacific Region,Singapore,58 (8),22 (0),36 (8),0 (0),0 (0),,,,,,,,,,,,20200214,25
,Japan,33 (4),24 (0),9 (4),0 (0),1 (1),,,,,,,,,,,,20200214,25
,Republic of Korea,28 (0),13 (0),12§§ (0),3 (0),0 (0),,,,,,,,,,,,20200214,25
,Malaysia,19 (1),15 (0),4‡‡ (1)‡‡‡,0 (0),0 (0),,,,,,,,,,,,20200214,25
,Viet Nam,16 (0),8 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,Australia,15 (0),15 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,Philippines,3 (0),3 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,20200214,25
,Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
South-East Asia Region,Thailand,33 (0),23 (0),6 (0),4 (0),0 (0),,,,,,,,,,,,20200214,25
,India,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
Region of the Americas,"United States of 
America",15 (1),13 (1),2 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,Canada,7 (0),6 (0),0 (0),1 (0),0 (0),,,,,,,,,,,,20200214,25
European Region,Germany,16 (0),2 (0),14 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,France,11 (0),5 (0),6 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,The United Kingdom,9 (0),2 (0),7*** (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,Italy,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,Spain,2 (0),0 (0),2§ (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,Finland,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
,Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200214,25
"Eastern Mediterranean 
Region",United Arab Emirates,8 (0),6 (0),1 (0),1 (0),0 (0),,,,,,,,,,,,20200214,25
Other,"International 
conveyance (Japan)",218** (44),0 (0),0 (0),218 (44),0 (0),,,,,,,,,,,,20200214,25
,,,,,,,,,,,,,,,,,,20200214,25
,,,,,,,,,,,,,,,,,,20200214,25
,,,,,,,,,,,,,,,,,,20200214,25
,,,,,,,,,,,,,,,,,,20200214,25
,,,,,,,,,,,,,,,,,,20200214,25
,,,,,,,,,,,,,,,,,,20200214,25
